_id,title,slug,program,categoryLabel,status,cardImage,eventCardDate,eventCardCities,sortDate,sourceUrl,isFeaturedHome,isFeaturedProgram,isVisible,ticketPrimaryUrl,manualNotes
mischa-maisky-recital,Mischa Maisky in Recital,MANUAL,Classical Concert & Theatre,Classical Concerts,upcoming,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,06-15 NOV 2026,Melbourne · Sydney · Brisbane · Perth,2026-11-15,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
naruto-symphonic-experience,NARUTO: The Symphonic Experience,naruto-the-symphonic-experience,Anime and Gaming Concerts,Anime Concerts,on-sale,/media/naruto-square-poster.png,03-04 OCT 2026,Sydney · Melbourne,2026-10-04,https://www.castiglione.com.au/narutothesymphonicexperience,true,true,true,https://premier.ticketek.com.au/shows/Show.aspx?sh=NARUTOX26,UPLOAD TO WIX: /media/naruto-square-poster.png
lucid-chang-cheng-yue-2026,Chang Cheng-Yue,MANUAL,Live Music & Festival,Lucid Live,upcoming,/media/naruto-hero.jpg,AUG 2026,Sydney · Melbourne,2026-08-07,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
attack-on-titan-world-tour,"""Attack on Titan"" - Beyond the Walls World Tour - The Official Concert",attack-on-titan-beyond-the-walls-world-tour,Anime and Gaming Concerts,Anime Concerts,on-sale,/media/aot-poster.jpg,05-07 JUL 2026,Melbourne,2026-07-07,https://www.castiglione.com.au/attackontitan,true,true,true,https://www.artscentremelbourne.com.au/whats-on/2026/contemporary-music/attack-on-titan,UPLOAD TO WIX: /media/aot-poster.jpg
one-piece-piano-symphony-2026,ONE PIECE Piano Symphony,MANUAL,Anime and Gaming Concerts,Anime Concerts,past,https://images.unsplash.com/photo-1526142684086-7ebd69df27a5?auto=format&fit=crop&w=1200&q=80,24-26 APR 2026,Melbourne · Sydney,2026-04-26,https://www.castiglione.com.au/onepiecepianosymphony,true,true,true,https://www.melbournerecital.com.au/events/2026/one-piece-piano-symphony/,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1526142684086-7ebd69df27a5?auto=format&fit=crop&w=1200&q=80
lucid-enno-cheng-2026,Enno Cheng,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,APR 2026,Melbourne · Sydney,2026-04-24,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-sunset-rollercoaster-2026,Sunset Rollercoaster,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,APR 2026,Sydney · Melbourne,2026-04-17,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-moon-tang-2026,moon tang,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,MAR 2026,Sydney,2026-03-29,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-the-landlords-cat-2026,The Landlord's Cat,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,MAR 2026,Sydney,2026-03-27,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
oddshapes-music-festival-2026,Oddshapes Music Festival,MANUAL,Live Music & Festival,Music Festival,upcoming,/media/naruto-hero.jpg,MAR 2026,Melbourne,2026-03-01,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
