rowNumber,Title,currentSlug,cleanedSlug,program,categoryLabel,normalizedCategoryLabelSuggestion,cardImage,imageReviewReason,eventCardDate,sortDate,ticketPrimaryUrl,sourceUrl,status,isFeaturedHome,isFeaturedProgram,reviewReason,recommendedAction
2,Mischa Maisky in Recital,MANUAL,mischa-maisky-in-recital,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,06–15 NOV 2026,2026-11-15,,,upcoming,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation; active/future event missing ticketPrimaryUrl; active/future event missing sourceUrl,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre; add ticketPrimaryUrl; add official event sourceUrl
3,NARUTO: The Symphonic Experience,naruto-the-symphonic-experience,naruto-the-symphonic-experience,Anime & Gaming Concerts,Anime Concerts,Anime & Gaming Concerts,/media/naruto-square-poster.png,,03–04 OCT 2026,2026-10-04,https://premier.ticketek.com.au/shows/Show.aspx?sh=NARUTOX26,https://www.castiglione.com.au/narutothesymphonicexperience,on-sale,true,true,legacy categoryLabel needs editorial taxonomy confirmation,normalize categoryLabel to Anime & Gaming Concerts
4,Chang Cheng-Yue,MANUAL,chang-cheng-yue,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,AUG 2026,2026-08-07,,,upcoming,true,true,reused Naruto placeholder image; active/future event missing ticketPrimaryUrl; active/future event missing sourceUrl,replace reused Naruto placeholder; add ticketPrimaryUrl; add official event sourceUrl
5,"""Attack on Titan"" - Beyond the Walls World Tour - The Official Concert",attack-on-titan-beyond-the-walls-world-tour,attack-on-titan-beyond-the-walls-world-tour,Anime & Gaming Concerts,Anime Concerts,Anime & Gaming Concerts,/media/aot-poster.jpg,,05–07 JUL 2026,2026-07-07,https://www.artscentremelbourne.com.au/whats-on/2026/contemporary-music/attack-on-titan,https://www.castiglione.com.au/attackontitan,on-sale,true,true,legacy categoryLabel needs editorial taxonomy confirmation,normalize categoryLabel to Anime & Gaming Concerts
6,ONE PIECE Piano Symphony,MANUAL,one-piece-piano-symphony,Anime & Gaming Concerts,Anime Concerts,Anime & Gaming Concerts,https://images.unsplash.com/photo-1526142684086-7ebd69df27a5?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,24–26 APR 2026,2026-04-26,https://www.melbournerecital.com.au/events/2026/one-piece-piano-symphony/,https://www.castiglione.com.au/onepiecepianosymphony,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation; duplicate title,replace Unsplash placeholder; normalize categoryLabel to Anime & Gaming Concerts; confirm this is a distinct event/year
7,Enno Cheng,MANUAL,enno-cheng,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,APR 2026,2026-04-24,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
8,Sunset Rollercoaster,MANUAL,sunset-rollercoaster,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,APR 2026,2026-04-17,,,past,true,true,reused Naruto placeholder image; duplicate title,replace reused Naruto placeholder; confirm this is a distinct event/year
9,moon tang,MANUAL,moon-tang,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,MAR 2026,2026-03-29,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
10,The Landlord's Cat,MANUAL,the-landlord-s-cat,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,MAR 2026,2026-03-27,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
11,Oddshapes Music Festival,MANUAL,oddshapes-music-festival,Live Music & Festivals,Music Festival,Live Music & Festivals,/media/naruto-hero.jpg,reused Naruto placeholder image,MAR 2026,2026-03-01,,,upcoming,true,true,reused Naruto placeholder image; legacy categoryLabel needs editorial taxonomy confirmation; status conflicts with sortDate; duplicate title,replace reused Naruto placeholder; normalize categoryLabel to Live Music & Festivals; confirm status or update sortDate; confirm this is a distinct event/year
12,Christmas at Cruden Farm with Silvie Paladino,MANUAL,christmas-at-cruden-farm-with-silvie-paladino,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,13 DEC 2025,2025-12-13,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
13,Crowd Lu,MANUAL,crowd-lu,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,DEC 2025,2025-12-06,,,past,true,true,reused Naruto placeholder image; duplicate title,replace reused Naruto placeholder; confirm this is a distinct event/year
14,Juan Diego Flórez in Recital,MANUAL,juan-diego-florez-in-recital,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1507838153414-b4b713384a76?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,29 NOV–03 DEC 2025,2025-12-03,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation; duplicate title,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre; confirm this is a distinct event/year
15,Demon Slayer:Kimetsu no Yaiba In Concert,MANUAL,demon-slayer-kimetsu-no-yaiba-in-concert,Anime & Gaming Concerts,Anime Concerts,Anime & Gaming Concerts,https://images.unsplash.com/photo-1510915361894-db8b60106cb1?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,17–31 OCT 2025,2025-10-31,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Anime & Gaming Concerts
16,Virgin Vacation,MANUAL,virgin-vacation,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,OCT 2025,2025-10-10,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
17,waa wei,MANUAL,waa-wei,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,SEP 2025,2025-09-18,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
18,Ray Chen in Recital,MANUAL,ray-chen-in-recital,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1511192336575-5a79af67a629?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,08–14 SEP 2025,2025-09-14,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
19,LaLa Hsu,MANUAL,lala-hsu,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,AUG 2025,2025-08-28,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
20,SKAI ISYOURGOD - SG,MANUAL,skai-isyourgod-sg,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,AUG 2025,2025-08-23,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
21,9m88 - SG,MANUAL,9m88-sg,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,JUN 2025,2025-06-10,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
22,NMIXX 2ND FAN CONCERT CHANGE UP: MIXX LAB IN AUSTRALIA,MANUAL,nmixx-2nd-fan-concert-change-up-mixx-lab-in-australia,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,JUN 2025,2025-06-06,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
